Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_SubmitPoolingOrder_Logout,,"Sehati Mobile Automation Test 
"tap(findTestObject(""poolingOrderPage/buttonCallNoTelepon""), 0)",,,,2023-08-30 14:09:12,2023-08-30 14:09:13,0.522s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-30 14:09:13,2023-08-30 14:09:15,2.008s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonRejectCall""), 0)",,,,2023-08-30 14:09:15,2023-08-30 14:09:16,0.792s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-30 14:09:16,2023-08-30 14:09:17,1.009s,PASSED
"tap(findTestObject(""poolingOrderPage/fieldTextNoIdentitas""), 0)",,,,2023-08-30 14:09:17,2023-08-30 14:09:19,1.968s,PASSED
"sendKeys(findTestObject(""poolingOrderPage/fieldTextNoIdentitas""), ""312125125122\n"")",,,,2023-08-30 14:09:19,2023-08-30 14:09:19,0.347s,PASSED
hideKeyboard(),,,,2023-08-30 14:09:19,2023-08-30 14:09:19,0.304s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:19,2023-08-30 14:09:20,0.503s,PASSED
"tap(findTestObject(""poolingOrderPage/fieldTextNoPolisi""), 0)",,,,2023-08-30 14:09:20,2023-08-30 14:09:22,1.851s,PASSED
"sendKeys(findTestObject(""poolingOrderPage/fieldTextNoPolisi""), ""30082023\n"")",,,,2023-08-30 14:09:22,2023-08-30 14:09:23,1.235s,PASSED
hideKeyboard(),,,,2023-08-30 14:09:23,2023-08-30 14:09:23,0.362s,PASSED
"tap(findTestObject(""poolingOrderPage/fieldTextNoMesin (1)""), 0)",,,,2023-08-30 14:09:23,2023-08-30 14:09:25,1.619s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:25,2023-08-30 14:09:25,0.509s,PASSED
driver = getDriver(),,,,2023-08-30 14:09:25,2023-08-30 14:09:25,0.000s,PASSED
"getKeyboard().sendKeys(""30082023"")",,,,2023-08-30 14:09:25,2023-08-30 14:09:26,0.505s,PASSED
hideKeyboard(),,,,2023-08-30 14:09:26,2023-08-30 14:09:28,1.810s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:28,2023-08-30 14:09:28,0.515s,PASSED
"submitButtonTapAtPosition(545, 2123)",,,,2023-08-30 14:09:28,2023-08-30 14:09:28,0.003s,PASSED
